,index,Unnamed: 0,내용
190,190,190,사진 글 스코비아 세상의 모든 것 스코비아 입니다 컴퓨터 부품 중 발열체와 발열을 해소하기 위한 냉각 장치 사이 미세한 틈을 채우기 위해서 흔히 써멀 구리스라고 불리는 유체 물질을 사용하는데요 미세한 공간을 메워서 열 전도성능을 증가시켜 부품 방열을 돕는데 주로 쓰이곤 합니다 데스크톱의 경우 고밀도의 부품들이 케이스 안에 상당히 많이 집약되어 있어서 발열이 심한 의 경우 써멀구리스의 열 전도율이 높을수록 높은 성능을 발휘하지만 그만큼 가격이 비싸고 일반 사용자들은 가격 차이만큼의 성능을 느끼기 힘든데 이번에는 주요 하드웨어 커뮤니티에서 가격대비 성능으로 우수한 평을 받고 있는 컴퓨터용 주변기기 및 액세서리 개발 전문 기업인 주식회사 성린의 샤칸 4 써멀구리스를 소개해보려고 합니다 더 자세한 내용은 블로그를 참고하세요 0221493340526 4 제품박스와 구성품 은 주식회사 성린의 컴퓨터 주변기기 및 게이밍 기어 브랜드로써 45 수준의 열 전도율과 환경오염을 야기하는 6개의 중금속 유해물질제한 지침인 를 만족시켜 유해성 걱정없이 사용할 있는 특징을 가지고 있습니다 특이하게 품질 보증기간을 무려 2년제한보증이나 제공하고 있어서 보증 서비스에 대해서는 크게 걱정하지 않아도 될 것 같습니다 포장 패키지가 지퍼백으로 처리되어 있어서 사용 후 장기간 밀봉 보관하기 좋을 것 같습니다 4 제품외형과 특징 성린 샤칸 4 써멀 구리스는 도포가 편리하고 보관이 용이한 주사기 타입으로 구성되어 있습니다 제품의 용량은 40014 밀도는 26㎤ 열 전도율은 45 동작 보증 온도는 40 150 까지 보장합니다 4 사용해보기 성린 샤칸 4 써멀구리스의 점도는 높은 편이 아니라서 도포하기 수월했는데요 필자는 지금까지 다양한 써멀 구리스를 사용해보면서 극한의 오버클럭을 즐기지 않는 이상 중앙에 일정량을 짜서 올려 놓는 것이 가장 간편하고 효율적인 도포방법이라고 생각합니다 다만 스프레드 전체에 넓게 펴바르고자하는 유저도 분명 있을텐데 다양한 도포 방법에 대응하기 위한 액세서리예주걱를 제공하지 않는 점은 다소 아쉬운 부분이라고 할 수 있습니다 4 성능 알아보기 아키텍처를 기반으로한 의 최고의 가성비 인 라이젠3 2200와 기본 동봉된 레이스 스텔스 쿨러를 통해 써멀 구리스의 성능을 알아보도록 하겠습니다 잘만 2 의 성능 테스트 기존 도포된 잘만 2 써멀 구리스를 비교군으로 시스템 안정성 테스트 프로그램을 활용하여 아이들시와 100 로드시 의 온도를 측정해봤습니다 아이들시에는 2630 부근 스트레스 테스트를 통해 부하를 줬을 때는 56 정도의 온도가 측정되었습니다 4 성능 테스트 시스템 안정성 테스트 프로그램을 활용하여 아이들시와 100 로드시 의 온도를 측정해봤습니다 아이들시에는 27 부근 스트레스 테스트를 통해 부하를 줬을 때는 58 정도의 온도가 측정되었습니다 최저점의 온도와 최고점의 온도는 비교군으로 사용된 잘만 2 과는 큰 차이가 없었습니다 2018122742 벤치마크 테스트 해외 유명 하드웨어 커뮤니티인 탐스하드웨어에서 비전도성 써멀구리스 중 최상급으로 알려진 아틱 4와 녹투아 1을 뛰어넘는 테스트 결과값이 나왔습니다 측정장비 및 환경에 따라 차이가 발생할 수 있음 4 마무리하며 현재 네이버 최저가 기준20190319 6천원이 안되는 가격에 판매되고 있으며 해외 유명 하드웨어 커뮤니티인 탐스하드웨어에서 비전도성 써멀구리스 중 최상급으로 알려진 아틱 4와 녹투아 1을 뛰어넘는 테스트 결과가 나왔기 때문에 시중에 판매되고 있는 써멀 구리스중에는 최고의 가성비를 자랑하는 제품이 아닌가 생각이 됩니다 4 리뷰였습니다 장문의 글을 읽어주셔서 대단히 감사합니다 본 사용기는 주식회사 성린과 퀘이사존 행사를 통해 제품을 제공받아 작성하였습니다 장문의 글을 읽어주셔서 대단히 감사합니다
191,191,191,음료 섭취할때마다 플라스틱 쓰레기 생산하고 각종 유해물질 무단 방류 산림파괴에 환경오염 진모리는 여의로 지형지물 파헤치
192,192,192,현재 우리나라는 종이컵이쑤시개빨대나무젓가락연질 플라스틱 전부 소각해서 매장하거나 재활용 가능한 품목은 재활용 합니다 기껏해야 코팅제 바르는거라서 소각시 환경오염도 적고 우리나라처럼 분리수거재활용 높은 나라도 거의 없습니다 바다나 육지에 투기하는 양도 기준 최저치입니다 반면에 엔지니어링 플라스틱계열은 가소제경화제촉매제 떄문에 함부로 소각 하면 안됩니다 보통 미세하게 갈아서 매장하는데 바다에 투기하면 흔히 언론에서 떠드는 미세플라스틱 문제를 발생시키죠 그렇다면 도료같은 화학계열은 마찬가지로 소각시 문제가 크게 발생해서 보통 전량 매장하는데 환경오염에 심각한 문제를 발생시킵니다 정말 환경에 관심있고 환경을 바꿀려면 촉매가 들어간 석유류 화학쪽은 다 떄려잡거나 엔지니어링 플라스틱 못 쓰게 해야죠 문제는 이들을 생산하는 기업은 다 대기업이고 우리나라 주류산업입니다 이쯤이면 정부가 환경환경 떠들면서 실질적으로 환경에 영향이 큰 분야는 손도 못 건들고 환경영향도 적은 분야에 집중하는지 그리고 자영업자만 규제하는지 뻔히 답변이 나오죠 반발이 가장적고 만만한게 자영업자고 서민입니다
193,193,193,경유세 인상이 대체 미세먼지에 얼마나 큰 실효성을 거둘지 의문입니다 세수 증대에는 확실히 이바지할듯합니다 경유세 인상이 실효성이 없는 이유를 여러가지로 생각해 봤습니다 1 미세먼지 심한 날의 미세먼지는 대부분 중국에서 날아옴 오늘 날 추워지니 바로 미세먼지 청정지역됨 애초에 미친 미세먼지는 경유 차 탓이 아님 물론 아예 영향이 1도 없다는 얘기는 아닙니다 2 경유세 50원 100원 올린다고 현재 디젤 차 보유중인 사람들이 디젤을 버릴까요 수천만원짜리 차를 신규 유입은 조금 줄어들수도 있겠네요 2 경유차가 환경오염에 일부 이바지하는 측면이 있으니 규제해야한다고 치면 현재 출시되고 있는 까지 달린 차들이 문제인가 애초에 가 정상적으로 작동하면 미세먼지 거의 안나온다고 봐야되는데 유로4 이전 도 안달린 차들의 조기폐차를 좀 더 적극적으로 유도하고 등의 장치가 달린 차들은 차량정기검사시 정상작동 여부를 빡세게 점검하는게 맞음 노후 경유차에 걷어가는 환경부담금으론 대체 뭘하는건지 알 수가 없음 3 현재 유로6 기준 디젤차도 신뢰할 수 없다 라고 하면 디젤차를 왜 파는 거임 안팔면 되지 4 디젤 대신 쓰라는데 가 디젤의 대안이 될수는 없다고 봄 하이브리드가 초반 토크도 강력하고 연비도 디젤이상이어서 실질적인 디젤의 대안이 될 수 있다고 보는데 정작 하이브리드에 들어가는 보조금은 0원 됨 취등록세 140만원 할인도 내년엔 90만원 내후년엔 40만원으로 줄어듬 친환경으로 가자는건지 말자는건지 정말 환경을 생각한 디젤규제라면 노후 디젤차 폐차 하이브리드로 이동하도록 적극 장려하는게 정상 아닌가요 디젤값 올리고 반대급부로 휘발유값 내리면서 하이브리드를 적극장려한다면 정부의 정책을 인정하겠지만 위와 같은 노력은 하나도 없이 단순히 경유세만 인상한다는것은 증세를 위한 구실일뿐 그 이상도 그 이하도 아니라고봅니다
194,194,194,1 최근 레디와 를 체결한 퍼시피코에너지 코리아는 어떤 기업인가요 일본 최대 태양광발전소 개발사로 메가솔라 프로젝트 개발 진행중입니다 또한 해상풍력 프로젝트도 진행하며 사업 확장을 위해 퍼시피코에너지코리아로 한국에 진출하여 400메가의 파이프라인을 가지고 개발 중에 있다고 합니다 2 미래의 재생에너지 시장은 어떨 것 같나요 친환경에너지인 태양광태양열수력풍력 자원등이 미래에는 더욱 발전하고 개발된다면 환경오염을 줄일뿐만아니라 무한의 에너지원을 확보 할 수 있다고 생각합니다 3 재생에너지에 레디의 사업모델이 적용될 경우 예상되는 기대효과는 무엇일까요 재생에너지 개발사들에게 체계화된 블록체인 기반에의한 최적화된 관리를 도와 줄꺼라고 생각합니다 퍼시피코에너지 코리아와 체결 기사 요약 ▶ 메가솔라 프로젝트를 개발하는 퍼시피코에너지는 일본 현지 태양광 1등 기업으로 사업영역을 확장하기 위해 약 1년전 한국으로 진출했습니다 ▶ 퍼시피코에너지는 지금껏 1기가 이상의 대형 태양광 프로젝트를 진행하고 있는 그룹사이며 일본에서는 태양광뿐만 아니라 해상풍력 프로젝트도 진행하고 있습니다 ▶ 한국에서는 현재 400메가의 파이프라인을 가지고 개발 중에 있다고 합니다 ▶ 퍼시피코에너지는 프로젝트 개발 진행 유지보수 및 자산관리 등 전 영역에서 사업을 활발히 진행 중인데요 ▶ 레디는 향후 퍼시피코에너지가 국내에서 건설하는 모든 태양광 발전소에 대한 데이터 분석과 모니터링 서비스를 제공하기 위한 업무 협약으로 를 체결하였습니다 ▶ 향후 가장 큰 비지니스 잠재 고객이 될 수 있는 퍼시피코에너지 코리아와의 체결은 레디에게 미래 사업개발을 위한 매우 중요한 포석입니다 ▶ 퍼시피코에너지 코리아는 국내 진출 후 국내 사업 확장에 관련하여 부족했던 에너지 데이터와 정보를 당사와의 협약을 통해 향후 국내 시장에서의 발판을 마련하고 양사가 긴밀히 협력하여 태양광 산업 내 시너지 효과를 내고자 합니다 인터뷰퍼시피코에너지 코리아 대표이사 인터뷰 요약 ▶ 저희는 메가솔라 프로젝트를 개발하는 퍼시피코에너지 코리아입니다 저희 그룹사에서는 지금껏 1기가와트급 이상의 태양광 프로젝트를 진행하고 있으며 일본에서는 태양광뿐만 아니라 해상풍력 프로젝트도 진행하고 있습니다 한국에서는 현재 400메가와트의 파이프라인을 가지고 개발 중입니다 프로젝트 개발 진행 유지보수 및 자산관리 등 전 영역에서 사업을 활발히 진행 중입니다 ▶ 성장이 빠르게 진행되는 만큼 부작용도 빠르게 따라올 수 있다고 생각합니다 특히 20년 고정계약에 맞춰 고려되지 못한 신재생에너지의 설계 부품 사용 기자재 선정 등이 향후 510년 뒤에 부작용으로 나올 것입니다 또한 부품의 노후화와 기후환경의 변화로 예상 수익률보다 발전량이 낮게 나오면서 및 자산관리의 노력으로 극복해야 하는 상황이 올 것 같습니다 ▶ 신재생에너지의 확장력에 맞춰서 니즈로 다가오는 자산관리 및 운용 에서 매우 긍정적이라고 생각합니다 특히 전력 자유화 소규모 다프로젝트의 환경에서 프로젝트 소유자 혹은 관리자 및 운영자의 많은 부담 경감에 큰 역할을 하므로 굉장히 좋은 비즈니스 모델이라고 생각합니다 ▶ 유지보수 및 관리 측면에서 빅데이터를 활용한 선행적 예측 시스템을 적용하면 수익률 향상과 기기 수명의 연장이 가능할 것 같습니다 그에 따른 데이터 관리 및 올바른 분석이 필요하고 통신환경의 복잡함이 난관으로 작용하지 않을까 걱정스럽습니다 ▶ 저희같은 큰 메가솔라 프로젝트를 개발하는 업체는 데이터 분석 및 자산관리가 매우 중요하며 레디 프로젝트의 기술력으로 더 안정적으로 수익률을 향상시킬 수 있는 기회가 될 것이라고 확신합니다 그리고 저희에게 축적된 데이터를 공유해 더 큰 시너지가 발생할거라고 생각합니다
195,195,195,소비재 상승 인건비 상승 온난화 상승 엔트로피 상승 미세먼지 상승 인간수명 상승 인간지능 상승 환경오염 상승 지구인으로 우주개척 하지못하면 인간의 종말 하지만 더 무서운건 인간은 스스로 똑똑하다고 착각하지만 그걸 조종하는건 내몸안에 있는 또다른나 내안에서 세포분열은 오늘도 상승중
196,196,196,퍼시피코에너지 코리아와 체결 기사 요약 ▶ 메가솔라 프로젝트를 개발하는 퍼시피코에너지는 일본 현지 태양광 1등 기업으로 사업영역을 확장하기 위해 약 1년전 한국으로 진출했습니다 ▶ 퍼시피코에너지는 지금껏 1기가 이상의 대형 태양광 프로젝트를 진행하고 있는 그룹사이며 일본에서는 태양광뿐만 아니라 해상풍력 프로젝트도 진행하고 있습니다 ▶ 한국에서는 현재 400메가의 파이프라인을 가지고 개발 중에 있다고 합니다 ▶ 퍼시피코에너지는 프로젝트 개발 진행 유지보수 및 자산관리 등 전 영역에서 사업을 활발히 진행 중인데요 ▶ 레디는 향후 퍼시피코에너지가 국내에서 건설하는 모든 태양광 발전소에 대한 데이터 분석과 모니터링 서비스를 제공하기 위한 업무 협약으로 를 체결하였습니다 ▶ 향후 가장 큰 비지니스 잠재 고객이 될 수 있는 퍼시피코에너지 코리아와의 체결은 레디에게 미래 사업개발을 위한 매우 중요한 포석입니다 ▶ 퍼시피코에너지 코리아는 국내 진출 후 국내 사업 확장에 관련하여 부족했던 에너지 데이터와 정보를 당사와의 협약을 통해 향후 국내 시장에서의 발판을 마련하고 양사가 긴밀히 협력하여 태양광 산업 내 시너지 효과를 내고자 합니다 인터뷰퍼시피코에너지 코리아 대표이사 인터뷰 요약 ▶ 저희는 메가솔라 프로젝트를 개발하는 퍼시피코에너지 코리아입니다 저희 그룹사에서는 지금껏 1기가와트급 이상의 태양광 프로젝트를 진행하고 있으며 일본에서는 태양광뿐만 아니라 해상풍력 프로젝트도 진행하고 있습니다 한국에서는 현재 400메가와트의 파이프라인을 가지고 개발 중입니다 프로젝트 개발 진행 유지보수 및 자산관리 등 전 영역에서 사업을 활발히 진행 중입니다 ▶ 성장이 빠르게 진행되는 만큼 부작용도 빠르게 따라올 수 있다고 생각합니다 특히 20년 고정계약에 맞춰 고려되지 못한 신재생에너지의 설계 부품 사용 기자재 선정 등이 향후 510년 뒤에 부작용으로 나올 것입니다 또한 부품의 노후화와 기후환경의 변화로 예상 수익률보다 발전량이 낮게 나오면서 및 자산관리의 노력으로 극복해야 하는 상황이 올 것 같습니다 ▶ 신재생에너지의 확장력에 맞춰서 니즈로 다가오는 자산관리 및 운용 에서 매우 긍정적이라고 생각합니다 특히 전력 자유화 소규모 다프로젝트의 환경에서 프로젝트 소유자 혹은 관리자 및 운영자의 많은 부담 경감에 큰 역할을 하므로 굉장히 좋은 비즈니스 모델이라고 생각합니다 ▶ 유지보수 및 관리 측면에서 빅데이터를 활용한 선행적 예측 시스템을 적용하면 수익률 향상과 기기 수명의 연장이 가능할 것 같습니다 그에 따른 데이터 관리 및 올바른 분석이 필요하고 통신환경의 복잡함이 난관으로 작용하지 않을까 걱정스럽습니다 ▶ 저희같은 큰 메가솔라 프로젝트를 개발하는 업체는 데이터 분석 및 자산관리가 매우 중요하며 레디 프로젝트의 기술력으로 더 안정적으로 수익률을 향상시킬 수 있는 기회가 될 것이라고 확신합니다 그리고 저희에게 축적된 데이터를 공유해 더 큰 시너지가 발생할거라고 생각합니다 1 최근 레디와 를 체결한 퍼시피코에너지 코리아는 어떤 기업인가요 퍼시피코에너지는 일본에 있는 태양광 관련 기업 1등업체라고 알고 있어요 한국에도 진출을 했는데 여기서는 1기가 이상의 대형 태양광 프로젝트를 한다고 합니다 2 미래의 재생에너지 시장은 어떨 것 같나요 전 미래 에너지시장은 당연히 올 것이라고 생각해요 환경오염문제와 자원문제를 해결해줘야 하니까요 다만 태양에너지에 집중되어 있는 것보다 더 나은 방법이 있을 것 같습니다 3 재생에너지에 레디의 사업모델이 적용될 경우 예상되는 기대효과는 무엇일까요 개인이 직접 에너지를 만들고 거래하기가 용이할 것 같습니다 하지만 비슷한 업체가 많은데 블록체인이 큰 도움이 될지 걱정도 됩니다
197,197,197,사피엔스호모데우스에 이어 인류3부작 시리즈 중 최신 작품인 21세기를 위한 21가지 제언은 총 5가지 단원속에 21가지 단락으로 구성되어 있습니다 대략적인 내용은 21세기의 당면한 인류의 현재와 미래에 대한 위협을 거시적인 관점에서 기술하고 있습니다 제가 책을 읽으며 느낀 유발하라리가 말하는 21세기의 난제의 큰 맥락으론 1정보기술알고리즘빅데이터 등 2생명공학 3핵전쟁 등 전쟁과 테러에 대한 위협 4환경오염으로 인한 위협 5민족종교이야기 등 허구를 믿고 협력하는 인간의 맹점 등이 있습니다 우선 첫번째 난제인 정보기술같은 경우 알고리즘빅데이터등의 발전으로 인해 앞으로 인류의 일자리는 위협받을 것이고 두번째 난제인 생명공학과 결합하게 되면 신체능력을 강화할 수 있고 이는 수명에도 영향을 미치며 신과같은 초인류의 탄생도 가능하리라 예상하고 있습니다 이는 모두가 누릴 수 없고 힘이 있는 정치인자본가등 극소수만이 누릴 수 있게 될것이며 지금보다 더 한 불평등을 나을 수 있는 것이기에 유발하라리는 이점을 아주 경계하고 있습니다 세번째 난제인 핵전쟁 등 전쟁과 테러에 대한 위협은 과거와 현재의 역사를 설명하며 여전히 많은 분쟁지역과 민족이나 종교따위로 인한 전쟁과 테러는 진행중이며 예전같은 제국주의전면전의 양상이 비교적 대거 사라진 배경에 대해서도 설명하고 있습니다 유발하라리는 과거와 같은 전쟁은 현대에 이르러 대거 사라졌지만 인류는 결코 스마트하지 않으며 똑같은 잘못을 다시 저지를 수 있고 그럴경우 예전과 달리 핵으로 인해 인류는 사라지게 될 거라고 경고하고 있습니다 네번째 난제인 환경오염으로 인한 위협은 경제성장과 발전을 지향점으로 삼는 현대 국가 및 기업 개인들로 인해 지구온난화에 따른 북극만년설의 해빙해수면의 상승동식물들의 멸종등 지구가 위협받고 있으며 이는 곧 지구의 파멸을 의미하므로 국가들간의 협치를 통해 조속히 해결할 것을 얘기하고 있습니다 다섯번째 난제인 민족종교 이야기 등 허구를 믿고 협력하는 맹점은 민족종교이야기 등이 그동안 인류 역사에서 보듯 민족과 국가로 발전했지만 과연 이런것들이 객관적으로 볼때 얼마나 진실인지 이에 따른 문제점은 없는지에 대한 범지구적 차원에서의 통찰을 담고 있습니다 역사학자이자 세계적인 석학답게 유발하라리의 책은 재미와 깊이논리적인 통찰을 모두 담고 있습니다 평점 네개반을 준 이유는 전작 사피엔스와 호모데우스에서 담고있는 내용들도 상당부분 겹치는게 있기에 반은 뺐습니다
198,198,198,요즘 대부분 일회용 마스크쓰시는 것 같은데 갑작스레 든 생각이 이것도 만드느라 환경오염 일회용품이니 버리느라 환경오염인거 맞나요 겉에도 비닐포장이 대부분이고 그렇다고 재활용으로 버리는건 아니고 일반쓰레기같은데 먼가 계속 악순환인 것 같다는 생각이 들긴하네요 미세먼지 좀 언능 없어졌으면 좋겠네요ㅠ
199,199,199,미세 먼지 뿐만이 아니고 기술탈취 등 민폐짓이 한두가지가 아니죠 오죽하면 미국의 트럼프가 중국한테 무역전쟁등 시비걸까요 중국은 좀 눌러줘야할 필요가 있는 나라입니다 더 미쳐날뛰기지 전에 암튼 우리한테 시급한 국내 미세먼지 문제는 다른분들이 자꾸 중국에 뭐라해야한다 라고 하시는데우리나라가 중국에 뭐라한다해도 알았어 하고 들을 넘들 일까요 짱깨를 너무 물로 보시는군요 천하제일민폐국가가 괜히 된게 아닌데 암튼 현재로서는 딱히 좋은 방법이 없는거 같아요 ㅜㅜ 내연기관차가 확 줄어들면 그래도 좀 나아질듯한데 그건 근시일내에 해결하기 어렵고 제 개인생각으론 현재 시행되고 있는 대북제재 이런거 처럼 처럼 전세계적 환경연합을 만들어서 강력한 제재를 시행하게 하면 어떨까함 환경오염을 줄이지 못하면 제재를 해서 수출도 못하게 만들고 국제적 망신도 주고 또 그 나라 물건 수입하는 나라도 뭔가 제재를 가하고 국제 환경인증 마크 없으면 수출 불가능 자동차 유로6인증처럼 근데 문제는 전세계적으로 환경문제에 대해 단합하기가 어려울꺼 같음ㅋㅋ 선진국이나 후진국이나 당장 먹고사는문제 경제 문제가 시급하기땜시 결론은 빨리 기술발전해서 내연기관차 없애고 굴뚝산업은 오염물질 완벽 차단 발전소는 핵융합발전 아 근데 이럴려먼 아직 멀었군요 ㅜㅜ 우리나라사람 거의 반평생 미세먼지 먹고 살수밖에 없을듯
200,200,200,1 일단 안전안내라 재난이랑 상관없다는 건 말장난입니다 보시다시피 재난의 경중에 따라 3단계로 구분하고 그중에 제일 낮은 단계가 안전안내 문자고요 셋 다 재난문자 맞습니다 2 그래서 한유총 사태를 안전안내문자로 보낼 근거는 무엇인가 마지막에 중앙재난안전상황실 상황담당관 판단하여 재난문자를 송출 조치할 사항 2항에 운영규정 9조에 따라 사용기관에서 재난문자방송 요청시 가능하다고 되어있네요 그래서 9조를 찾아봤습니다 뭐 아마 15항 보고 아무튼 가능하다고 주장할 분들이 많긴 하겠네요 여튼 그런 분들 주장으론 이번 한유총 사태는 사회재난이라는 건데 글쎄올시다 재난 및 안전관리 기본법 제 3조에서는 재난이란 단어를 정의하고 있습니다 1 재난이란 국민의 생명ㆍ신체ㆍ재산과 국가에 피해를 주거나 줄 수 있는 것으로서 다음 각 목의 것을 말한다 가 자연재난 태풍 홍수 호우豪雨 강풍 풍랑 해일海溢 대설 한파 낙뢰 가뭄 폭염 지진 황사黃砂 조류藻類 대발생 조수潮水 화산활동 소행성ㆍ유성체 등 자연우주물체의 추락ㆍ충돌 그 밖에 이에 준하는 자연현상으로 인하여 발생하는 재해 나 사회재난 화재ㆍ붕괴ㆍ폭발ㆍ교통사고항공사고 및 해상사고를 포함한다ㆍ화생방사고ㆍ환경오염사고 등으로 인하여 발생하는 대통령령으로 정하는 규모 이상의 피해와 에너지ㆍ통신ㆍ교통ㆍ금융ㆍ의료ㆍ수도 등 국가기반체계이하 국가기반체계라 한다의 마비 「감염병의 예방 및 관리에 관한 법률」에 따른 감염병 또는 「가축전염병예방법」에 따른 가축전염병의 확산 등으로 인한 피해 ㅎㅎ 뭐 까이꺼 끼워맞추면 뭔들 사회재난이 아니겠습니까 올해 연말 수능 때도 수능 안내 및 격려 문자 날아오겠네요
201,201,201,이번 정부 들어 정부시책 중 이해 안간다 반대한다 싶은게 있긴 하세요 당연히 이번 유치원 사태 한유총 패악질 맞고 정부 방침이 옳다고 생각해서 지지합니다만 이걸 왜 국가가 재난문자로 보내냐 이 말입니다 보니까 ㅋㅋ 아무튼 애들 문제다고 앵무새처럼 반복하는 분도 있고 애 가진 부모한텐 재난 맞다고 말장난하시는 분들도 있고 재난 및 안전관리 기본법 제 3조에서는 재난이란 단어를 정의하고 있습니다 1 재난이란 국민의 생명ㆍ신체ㆍ재산과 국가에 피해를 주거나 줄 수 있는 것으로서 다음 각 목의 것을 말한다 가 자연재난 태풍 홍수 호우豪雨 강풍 풍랑 해일海溢 대설 한파 낙뢰 가뭄 폭염 지진 황사黃砂 조류藻類 대발생 조수潮水 화산활동 소행성ㆍ유성체 등 자연우주물체의 추락ㆍ충돌 그 밖에 이에 준하는 자연현상으로 인하여 발생하는 재해 나 사회재난 화재ㆍ붕괴ㆍ폭발ㆍ교통사고항공사고 및 해상사고를 포함한다ㆍ화생방사고ㆍ환경오염사고 등으로 인하여 발생하는 대통령령으로 정하는 규모 이상의 피해와 에너지ㆍ통신ㆍ교통ㆍ금융ㆍ의료ㆍ수도 등 국가기반체계이하 국가기반체계라 한다의 마비 「감염병의 예방 및 관리에 관한 법률」에 따른 감염병 또는 「가축전염병예방법」에 따른 가축전염병의 확산 등으로 인한 피해 어딜 봐서 이번 유치원 관련 사태가 사회재난으로 분류할 수 있는지 모르겠습니다 조만간 교사 혹은 교직원 파업이라도 있으면 그거도 사회재난으로 분류해서 문자 보내려나 아 한유총 때려잡는거 강력 찬성합니다 걔들이야 말로 전형적인 적폐니까 처리해야죠 근데 그거랑 그걸 국가가 안전문자를 악용해서 문자로 보내는 거랑 무슨 상관관계가 있냐 이말입니다 애들 문제라서 그럴 수 있다 하면 내년부터는 뭐 애들 방학입학방학등록 관련된 문자도 싹 안전문자로 보내도 동의하세요 그거도 학생 가진 부모들한테도 매우 중요한 문제고 놓치면 재난아니겠습니까 말 장난도 좀 적당히 해야지 그런 식으로 말장난해서 이거도 재난이다 저거도 재난이라 할거면 국가가 재난문자로 못보낼 내용이 뭔가 궁금하네요 이번 북미회담은 왜 안전문자로 안보냈나요 북핵문제 제대로 해결 안되는 건 우리나라 국민들 입장에서 재난에 가까운 일인데
202,202,202,한국이 인구가 점점 줄고 경제가 나빠지고 환경오염이 심각해서 살기 안좋아지면 외국국적 취득하고 떠나려고 합니다 솔직히 애국심도 없고 미련도 없어요 혜택 받지도 못하는 세금 내는것도 아깝고 국민연금 돌려받을거란 생각도 없어요 어디에서 살지 어느나라 국적을 취득하는게 좋을지 진지하게 생각해본적이 없어서 의견 좀 구하고 싶습니다 업무는 인터넷만 되면 상관없어요
203,203,203,바닥에 낚싯줄이 걸려서 꺼내야 되는걸로 보이는데요 도시어부보니 바닥 바닥 이러는게 엄청 많더라구요 이럴경우 그냥 낙싯줄을 끊어버리는 건가요 아니면 빼는 기술이 있나요 이거 걸릴때마다 낙싯줄 끊는거면 바늘 추 루어 줄이랑 뭐 등등해서 환경오염이 장난 아닐것 같은데요 이덕화는 도시어부 한편당 5바닥 이상은 하는듯 하거든요
204,204,204,금전적 손실이 아닌 환경적 손실을 생각해보려고 합니다 배달이 늘어날텐데 걸어서 아니면 자전거로 배달하나요 사용되는 화석연료 발생하는 대기오염물질은 친환경인가요 미세플라스틱 줄여줬으니 착한 미세먼지인가요 그리고 그릇은 저절로 깨끗해지나요 다들 발우공양이라도 하시나요 수질오염 수처리비용 사용되는 수자원 이건 친환경인가요 또 수저 그릇 컵 이런건 영구적이고 100 회수되나요 큰 그릇 일부가 깨지고 금가고 이나가도 교체해야합니다 이런 제품 하나가 일회용품 몇 십배의 오염물질 배출하겠죠 무엇보다 배달은 주로 젊은분들이 오토바이로 합니다 위험성은 말 안해도 아시죠 판매량은 동일한테 배달거리가 2배 늘면 사고위험 사고건수도 함께 늘겠죠 바빠지면 더할테고요 환경도 결국 사람 위한건데 교통사고 늘고 사망자가 늘면 좋은걸까요 회수용 용기를 쓴다고 일회용품 안쓸까요 랩 안씌우고 배달 가능한가요 뚜껑을 만들까요 보온병에 배달할까요 결국 환경오염물질 만드는거겠죠 저도 환경을 생각해야해고 플라스틱을 줄여야한다 생각합니다 하지만 여러가지 장단점을 비교해 계산기를 두들겼는데 일회용품이 정답일 수도 있겠죠 예를들면 배달거리 몇 이상부터 일회용품이 친환경적일수 있다던가 기저귀 여성용품 반려동물패드도 재사용이 가능한걸로만 규제하길 바라는 분은 없으시겠죠 단순 규제가 아닌 좋은 방향으로 나아갔으면 좋겠네요 아마도 결국에는 자율주행이나 드론으로 가게 될 것 같지만요
205,205,205,11010080004106484 도로에 이어 철로에서도 친환경 바람이 거세게 불고 있다 환경오염 물질을 배출하는 디젤기관차를 대신해 친환경 연료를 사용하는 기차가 등장한 것 독일에서는 세계 최초로 수소를 연료로 사용하는 기차가 상업운행을 시작했으며 앞으로 친환경 기차 시장 선점을 위한 글로벌 철도업계의 경쟁이 한층 가열될 전망이다 16일현지시간 도이체벨레독일의 소리·에 따르면 독일 니더작센 주는 오는 17일부터 부크스테후테와 쿡스하펜을 잇는 약 100㎞ 철도 구간에 세계 최초로 두 대의 수소전기기차를 투입한다고 밝혔다 수소전기차란 수소와 산소가 결합할 때 생기는 전기에너지를 동력으로 삼는 차량을 말한다 자동차는 이미 수소전기차가 상용화됐으나 수소전기기차가 실제 운행에 투입되는 것은 이번이 처음이다
