내용,label
 사람들은 흰백색의 자작나무 껍질에서 .순수.의 정서를 느낀다,1
 수십 곧게 뻗은 몸통에서 .지조.를 읽어내기도 한다,1
 이른바 .핫 플레이스.로 뜬 곳은 인제 원대리 자작나무 숲이다,0
 영양과 인제 두 곳의 자작나무 숲을 다녀온 이는 .영양 자작나무 숲길은 평탄하다,0
 숲길 따라 계곡도 흐른다,0
고 말했다,0
 영양의 장점으로 꼽은 것들이다,0
 영양 자작나무 숲 자작나무. 흰색 나무껍질에서 .순수함.을 느끼곤 한다,1
 기름기가 많고 질겨 초나 캔버스로도 쓰였다,0
 영양 자작나무 숲엔 스마트폰 신호가 잡히지 않는다,0
 차에서 내려 한참을 걸어가야 한다,0
 불편함을 기꺼이 감당하거나 걷기를 즐기려는 이들에겐 적격의 장소다,0
 군은 취사나 야영 물고기잡이는 금지했는데 탁족.은 가능하다,0
 장파천은 장수포천과 수하계곡 물길로 연결된다,0
 수하계곡 쪽에 들어선 게 수비면 수하리 영양 반딧불이천문대다,0
 지난 .일 영양군 초청 투어 마지막 일정으로 이곳을 찾았다,0
 천문대 구호는 .불을 끄고 별을 켜다,0
이다,0
 인공조명을 찾기 힘들다,0
 몇 안 되는 가로등은 조도가 낮다,0
 수비면은 한국에서 가장 밤하늘이 어둡다고 한다,0
 이 일대는 아시아 최초로 국제밤하늘보호공원으로 지정됐다,1
 천문대는 고가의 천체 망원경을 둔 곳인데 천문대 박찬 주무관은 .드러누워 밤하늘을 보는 게 제일 좋다,0
고 말한다,0
 그는 .낮은 밝고 밤은 어두운 게 자연스럽다,0
고 말했다,0
 용화광산 오염원 복원과 영양댐 저지와 이어지는 말 같았다,0
 영양군엔 숙박시설이 많지 않다,0
 영양 생태공원사업소.에서 반딧불이천문대 부근 캠핑장 수련원.펜션을 예약할 수 있다,0
 반딧불이천문대 체험 예약도 이곳에서 가능하다,0
 죽변등대공원 전망대에서 바라본 하트해변과 스카이레일. 모노레일을 타고 그 안에서 보는 바다 풍경은 좋다,1
 모노레일이 해안선 풍경을 해친다는 지적도 나온다,0
 경북 울진군 죽변리등대길 하트해변 따라 늘어선 .스카이레일.주변 소공원엔 자생 대나무 가득 울진 죽변등대공원 맞은편 소공원에서 본 죽변항 일대. 죽변이란 이름처럼 대나무가 많다,0
 울진 죽변 국립 해양과학관 명소 중 하나는 해중전망대이다,0
 지금 문을 닫았다,0
 방역 대책을 마련하고 다시 문을 연다,0
 대신 해중전망대로 가는 다리는 열려 있다,0
 과학관 관람은 온라인 사전 예약해야 한다,0
다,0
경기도 의정부시에 조성 중인 .나리벡시티. 부지의 토양오염 부실정화와 관련해 환경단체들이 관련 부처와 지자체를 상대로 공익감사를 청구했다,-1
 이 부지는 수십년 간 미군부지로 사용되다 반환된 곳인데 환경단체들은 국방부 등이 유류 누출로 인한 토양오염 사실을 인지하고도 부실하게 정화 작업을 했다고 주장하고 있다,-1
 나리벡시티 공사현장 사진. 녹색연합 제공 환경단체 녹색연합과 글로벌 에코넷 환경실천연합회는 .일 국방부 주한미군기지이전사업단 의정부시 한국환경공단을 대상으로 감사원에 공익감사를 청구했다고 밝혔다,1
 경기도 의정부시 금오동 산.번지 일대는 .년부터 미군부지캠프 시어즈로 공여됐는데 이 지역의 동쪽 공간은 주한미군의 유류저장소로 사용됐다,0
 .년 반환된 후 현재는 의정부시 주도 하에 나리벡시티 사업이 진행되고 있다,0
 나리벡시티에는 공동주택과 오피스텔을 포함해 미래직업 테마파크 문화공간 등이 들어설 계획이다,0
 토양환경보전법상 토양오염우려기준은 .지역으로 나뉜다,0
 .지역은 학교나 주거 어린이 놀이시설이 .지역은 도로나 주차장 공장부지가 들어설 수 있는 정도의 토양이다,0
 나리벡시티 부지는 반환 후 국방부가 .년 .지역 수준으로 정화를 했고 나리벡시티 사업이 추진되자 지난해 .월 .지역 수준으로 다시 정화가 완료됐다,1
 그러나 지난해 .월 굴착공사 도중 기준치의 .배가 넘는 오염토가 발견돼 공사가 중단됐다,-1
 암반에 스며든 유류가 공사가 진행되자 흘러나오기 시작한 것이다,-1
 전체 부지의 .가 넘는 면적에서 유류 오염물질인 석유계총탄화수소가 기준치를 초과했다,-1
 당시 국방부는.암반은 정화 대상이 아니다,0
 암반이 아닌 토양은 정화가 완료됐다,1
 며 개발사업자인 .나리벡시티에 정화책임을 미뤘다,0
 결국 지난해 말 의정부시가 .공동 정화하라.고 명령해 현재 추가 정화작업을 진행 중이다,1
 환경단체들은 내년 .월까지인 추가 정화작업 또한 절차를 지키지 않고 진행되고 있다고 주장한다,1
 법상 오염토양 정화는 .그 부지 내에서. 진행돼야 하는데 하지만 .나리벡시티가 의정부시의 승인을 받고 오염토량을 외부로 반출하고 있어 주변 지하수 오염이 우려된다는 것이다,-1
 환경단체들은 공익감사청구서에서 .미군 반환 공여구역의 경우 정화사업 후 개발 단계나 개발 완료 후에 추가 오염이 확인되는 사례가 빈번하다,-1
 부실정화로 공공시설 및 공동주택 계획이 무기한 연기되거나 유해.발암물질에 노출돼 지역 주민들이 건강상 피해도 입을 수 있다,-1
며 .철저하게 감사해 달라.고 촉구했다,0
다,0
이산화탄소와 탈황석고를 활용한 탄소포집.활용 설비. 현대오일뱅크 제공. 현대오일뱅크와 종합건설사 이앤씨가 이산화탄소.와 정유 부산물인 탈황석고를 활용해 탄산화제품을 생산하는 탄소포집.활용 설비를 구축하기로 했다,-1
 양사는 해당 내용이 담긴 .탄소저감 친환경 건축소재 사업 협약.을 .일 체결하고 공동으로 온실가스 자원화 사업을 추진하기로 했다,1
 .년 충남 서산시 현대오일뱅크 대산공장 내에 연간 .만의 탄산화제품 생산 공장을 건설해 생산량을 최대 .만까지 늘릴 계획이다,0
 현대오일뱅크는 이번 탄소포집.활용 기술 도입을 통해 정유 부산물인 탈황석고를 연간 .만 가량 재활용한다,-1
 현대오일뱅크는 .탄산화제품 . 당 이산화탄소 .을 포집.활용할 수 있어 연간 .만의 탄소배출을 줄일 수 있을 것으로 전망하고 있다,-1
고 밝혔다,0
 이는 소나무 .만 그루를 심는 효과와 맞먹는 양으로 탄소포집.활용 설비로는 국내 최대 규모다,0
 생산된 탄산화제품은 시멘트 콘크리트 경량 블록 등 건축 자재를 만드는 대체원료로 공급한다,-1
 석고.석회광산에서 석고 탄산칼슘을 직접 채굴하는 것보다 자연 파괴가 적다,-1
 현대오일뱅크 관계자는 .온실가스 저감 자원 재활용 환경 보존을 동시에 실현할 수 있는 방법.이라고 말했다,1
 이앤씨는 탄소포집.활용 공장의 설계.구매.시공에 참여하고 탄산화제품으로 만든 친환경 시멘트 콘크리트 등을 건축 및 토목 사업에 활용할 예정이다,0
 이앤씨 측은 이번 사업을 통해 탄소 포집.활용 신사업 포트폴리오를 확보해 경영에 속도를 내겠다고 밝혔다,0
 강달호 현대오일뱅크 사장은 .이번 협력은 환경을 오염시키는 배출가스와 활용도가 낮은 부산물을 재가공해 쓸모 있는 제품으로 바꾸는 친환경 사업 모델.이라며 .다양한 탄소중립 노력으로 환경.사회.지배구조경영을 강화하겠다,0
고 말했다,0
 마창민 이앤씨 대표도 .포집한 이산화탄소를 활용해 새로운 가치를 창출할 수 있는 돌파구를 마련하게 됐다,0
라며 .가장 적극적인 형태의 탄소저감 활동이 될 것.이라고 전했다,1
다,0
코로나. 사태 이후 신선냉장식품 등의 온라인 구매가 늘어나면서 집집마다 쌓여가고 있는 아이스팩. 윤희일 선임기자 세종시가 버려지는 아이스팩냉매가 들어있는 비닐 봉지을 전면 재사용하는 프로젝트를 가동한다,-1
 코로나. 사태 이후 신선.냉장.냉동식품 등의 온라인 구매가 늘어나면서 아이스팩의 처리가 가정과 사회의 큰 문제로 떠오르고 있는 것이 그 배경이다,-1
 아이스팩의 충전재는 고흡수성수지 플라스틱의 일종으로 자연 분해가 되지 않으며 소각.매립이 어려워 환경오염의 주범으로 지목되고 있다,-1
 전문가들은 아이스팩으로 인한 환경오염을 방지하기 위해서는 발생량을 억제하고 사용량을 줄이는 것이 시급하다고 주장한다,-1
 세종시는 .일부터 시내 공동.단독주택에 아이스팩 분리배출장소를 지정한 뒤 세종시 전역의 아이스팩을 수거하는 사업을 추진한다고 .일 밝혔다,0
 세종시 관계자는 .아이스팩을 수거해 재사용함으로써 일단 제조된 아이스팩의 활용도를 높이는 방법으로 환경오염 문제를 줄여나갈 방침.이라고 말했다,0
 시는 시민들이 비닐로 포장된 젤 형태의 아이스팩을 인근 행정복지센터.곳와 공동.단독주택 인근에 마련한 분리배출장소.곳에 내놓으면 세척.소독 작업을 거쳐 수요가 필요한 식품업체 전통시장 등에 무상으로 전달하기로 했다,1
 세종시는 아이스팩 수거 장소는 공동주택 관리사무소 거점 배출장소 등에서 접수를 받아 최종 확정명단을 확정한 뒤 오는 .일 시 홈페이지에 공개할 예정이다,1
 이두희 세종시 환경녹지국장은 .폐합성수지와 미세플라스틱의 원인인 젤타입의 아이스팩을 재사용함으로써 자원재활용과 환경보전에 기여하도록 하겠다,0
고 말했다,0
다,0
오래전 .이날.은 .년부터 .년까지 .년마다 경향신문의 같은 날 보도를 살펴보는 코너입니다,0
 매일 업데이트합니다,0
 .년 .월 .일 .고엽제 있을까.칠곡 토양 시료 채취. .년 전인 .년 .월 .일 경향신문 .면에는 .고엽제 있을까.칠곡 토양 시료 채취.라는 제목이 달린 사진이 실렸습니다,0
 또 .면에는 . 고엽제 .년 사용. .칠곡 미군기지 인근 .곳 땅속 토양 채취.라는 제목의 관련 기사들이 함께 게재됐습니다,0
 아래에 당시 기사들의 일부를 옮겨 보겠습니다,0
 칠곡 미군기지 인근 .곳 땅속 토양 채취 고엽제로 인한 환경오염에 대해 불안이 확산되고 있는 가운데 한.미 공동조사단은 .일 경북 칠곡군 왜관읍 미군기지 캠프 캐럴 주변지역에서 토양시료 채취를 시작했다,-1
 한국 측 조사단은 지난 .일과 .일 이틀에 걸쳐 기지 주변 .곳의 지하수 관정에서 시료를 채취한 데 이어 이날부터 토양과 하천수 시료 채취에 나섰다,0
 미군 측은 .명이 나와 우리 측의 시료채취 과정을 참관했다,0
 .년 .월 당시 한국환경기술개발원이 낸 .휴.폐광된 금속광산 지역의 오염 관리대책.을 보면 용화광산 주변 토양의 중금속은 비오염 지역보다 비소가 .배. 높게 나타났다,-1
 광산 지역에서 . 떨어진 곳에서도 비소가 .배. 높았다,-1
 안내판에 .영풍.이란 이름에 주목한 건 이 기업의 석포제련소 환경오염 문제 때문이다,-1
 영풍광업은 .년 영양군 옆 봉화군 석포면 산골짜기에 이 제련소를 만들었다,0
 .년에야 일대 환경오염 문제가 알려졌다,-1
 영양군 용화광산에선 영풍이란 기업의 책임은 묻혔다,0
 언론 보도에도 문헌에도 잘 나오지 않는다,0
 영풍과 용화광산의 관계는 저 안내판 연혁에서만 찾을 수 있다,0
 용화광산 선광장 앞이 .일월 자생화공원.이다,0
 영양군은 .년부터 오염원을 매립하고 야생화를 심었다,0
 영양군 관계자는 .당시 영풍이 오염 피해 보상이나 자연복원 지원을 한 기록이 없다,0
고 말했다,0
 한때 흉물이자 환경오염 근원지가 자연복원 가치를 드러내는 상징 장소로 탈바꿈했다,0
 영양군은 보존한 선광장 꼭대기에 전망대도 만들었다,0
 전망대 맞은편이 일월산이다,0
 동학농민군이 여기 숨어들었다,0
 한말 의병장 신돌석의 주무대가 일월산이다,0
 이 일대는 빨치산의 최후 거점 중 한 곳이기도 했다,0
 은닉하거나 게릴라전을 펼치기 좋았던 건 일월산을 포함한 영양군 일대가 오지였기 때문이다,0
 오지는 .낙후.란 단어가 연상되면서 어감이 좋지 않지만 .해안이나 도시에서 멀리 떨어진 내륙의 깊숙한 땅.이란 뜻일 뿐이다,0
 오지의 지표 하나가 .응급의료 전용헬기 착륙장. 도로안내 표지판이다,0
 영양군 도로를 오가면 이 표지판이 하나씩 나타난다,0
 큰 병원이 주변에 없다,0
 도로는 주로 .차선이나 .차선이다,0
 .년 .월 기준 영양군 인구는 .만.명 전국 .개 시.군.구 중 영양군보다 인구가 적은 데는 울릉군.명 하나다,0
 사람이 적으니 오염원도 적다,0
 오지는 청정 자연 공간의 다른 이름이다,1
 경상도의 .봉화.영양.청송는 전라도의 .무진장.무주.진안.장수 강원도의 .영평정.영월.평창.정선과 함께 청정 지역을 대표하는 이름이 되어간다,0
 와 영평정의 영월은 외씨버선길로도 이어진다,0
 청정 공간을 그저 이룬 것은 아니다,1
 수몰 예정지 주민들이 .년 동안 반대 운동을 벌이며 영양댐 건설을 막아냈다,-1
 .물 수요에 따라 댐을 건설하려 했다기보다 댐 건설 자체를 정해놓고 물 쓸 곳을 찾는다,-1
는 비판을 받았다,0
 주민들은 .군민을 물속에 넣으면서까지 정치를 해야만 하나요.라고 적은 현수막을 내걸기도 했다,0
 정부는 .년 댐 건설을 백지화했다,0
 수몰 위기에 빠질 뻔한 게 검마산과 백암산에서 발원해 죽파리와 기산리 대산골 송하리를 거쳐 낙동강으로 흐르는 장파천이다,0
 영양 하면 수하계곡이 유명한데 장파천의 수려함도 못지않다,0
 죽파리 쪽 장파천은 .영양 자작도.라 불리는 . 규모의 자작나무 숲죽파리 산.으로 이어진다,0
 영양 자작나무 숲 곁으론 계곡이 흐른다,0
 숲길은 평탄하다,0
 영양 자작나무 숲. . 면적에 .년된 나무들이 들어섰다,1
 맞은편 일월산은 게릴라전 적소휴대폰 신호 못 잡는 자작나무 숲그 숲길 따라 흐르는 .죽파계곡.순수.의 정서 느낄 청정 자연 공간 자작나무와 자작나무 숲. 코로나. 사태 이전까지 사회관계망서비스를 달군 열쇳말 중 하나다,1
 .산림관광지로서 인제 자작나무 숲에 대한 소셜미디어 이용자 인식 연구.를 보면 자작나무 숲 방문객은 늘어난다,0
 .아름답다,1
 .좋다,1
 .가다,0
 .보다,0
 .사진. 같은 단어 출현 빈도가 높다,0
 자작나무만 분류하면 .스피커. .인테리어. 같은 단어도 뜬다,0
 천마총 천마도의 캔버스가 자작나무다,0
 기름 성분이 많다,0
 .화촉.이 자작나무 껍질로 만든 초다,0
 숲은 또 어떤가. 자작나무 숲은 여러 정서를 일으킨다,0
 사람들은 흰백색의 자작나무 껍질에서 .순수.의 정서를 느낀다,1
 수십 곧게 뻗은 몸통에서 .지조.를 읽어내기도 한다,1
 이른바 .핫 플레이스.로 뜬 곳은 인제 원대리 자작나무 숲이다,0
 영양과 인제 두 곳의 자작나무 숲을 다녀온 이는 .영양 자작나무 숲길은 평탄하다,0
 숲길 따라 계곡도 흐른다,0
고 말했다,0
 영양의 장점으로 꼽은 것들이다,0
 영양 자작나무 숲 자작나무. 흰색 나무껍질에서 .순수함.을 느끼곤 한다,1
 기름기가 많고 질겨 초나 캔버스로도 쓰였다,0
 영양 자작나무 숲엔 스마트폰 신호가 잡히지 않는다,0
 차에서 내려 한참을 걸어가야 한다,0
 불편함을 기꺼이 감당하거나 걷기를 즐기려는 이들에겐 적격의 장소다,0
 군은 취사나 야영 물고기잡이는 금지했는데 탁족.은 가능하다,0
 장파천은 장수포천과 수하계곡 물길로 연결된다,0
 수하계곡 쪽에 들어선 게 수비면 수하리 영양 반딧불이천문대다,0
 지난 .일 영양군 초청 투어 마지막 일정으로 이곳을 찾았다,0
 천문대 구호는 .불을 끄고 별을 켜다,0
이다,0
 인공조명을 찾기 힘들다,0
 몇 안 되는 가로등은 조도가 낮다,0
 수비면은 한국에서 가장 밤하늘이 어둡다고 한다,0
 이 일대는 아시아 최초로 국제밤하늘보호공원으로 지정됐다,1
 천문대는 고가의 천체 망원경을 둔 곳인데 천문대 박찬 주무관은 .드러누워 밤하늘을 보는 게 제일 좋다,0
고 말한다,0
 그는 .낮은 밝고 밤은 어두운 게 자연스럽다,0
고 말했다,0
 용화광산 오염원 복원과 영양댐 저지와 이어지는 말 같았다,0
 영양군엔 숙박시설이 많지 않다,0
 영양 생태공원사업소.에서 반딧불이천문대 부근 캠핑장 수련원.펜션을 예약할 수 있다,0
 반딧불이천문대 체험 예약도 이곳에서 가능하다,0
 죽변등대공원 전망대에서 바라본 하트해변과 스카이레일. 모노레일을 타고 그 안에서 보는 바다 풍경은 좋다,1
 모노레일이 해안선 풍경을 해친다는 지적도 나온다,0
 경북 울진군 죽변리등대길 하트해변 따라 늘어선 .스카이레일.주변 소공원엔 자생 대나무 가득 울진 죽변등대공원 맞은편 소공원에서 본 죽변항 일대. 죽변이란 이름처럼 대나무가 많다,0
 울진 죽변 국립 해양과학관 명소 중 하나는 해중전망대이다,0
 지금 문을 닫았다,0
 방역 대책을 마련하고 다시 문을 연다,0
 대신 해중전망대로 가는 다리는 열려 있다,0
 과학관 관람은 온라인 사전 예약해야 한다,0
다,0
경기도 의정부시에 조성 중인 .나리벡시티. 부지의 토양오염 부실정화와 관련해 환경단체들이 관련 부처와 지자체를 상대로 공익감사를 청구했다,-1
 이 부지는 수십년 간 미군부지로 사용되다 반환된 곳인데 환경단체들은 국방부 등이 유류 누출로 인한 토양오염 사실을 인지하고도 부실하게 정화 작업을 했다고 주장하고 있다,-1
 나리벡시티 공사현장 사진. 녹색연합 제공 환경단체 녹색연합과 글로벌 에코넷 환경실천연합회는 .일 국방부 주한미군기지이전사업단 의정부시 한국환경공단을 대상으로 감사원에 공익감사를 청구했다고 밝혔다,1
 경기도 의정부시 금오동 산.번지 일대는 .년부터 미군부지캠프 시어즈로 공여됐는데 이 지역의 동쪽 공간은 주한미군의 유류저장소로 사용됐다,0
 .년 반환된 후 현재는 의정부시 주도 하에 나리벡시티 사업이 진행되고 있다,0
 나리벡시티에는 공동주택과 오피스텔을 포함해 미래직업 테마파크 문화공간 등이 들어설 계획이다,0
 토양환경보전법상 토양오염우려기준은 .지역으로 나뉜다,0
 .지역은 학교나 주거 어린이 놀이시설이 .지역은 도로나 주차장 공장부지가 들어설 수 있는 정도의 토양이다,0
 나리벡시티 부지는 반환 후 국방부가 .년 .지역 수준으로 정화를 했고 나리벡시티 사업이 추진되자 지난해 .월 .지역 수준으로 다시 정화가 완료됐다,1
 그러나 지난해 .월 굴착공사 도중 기준치의 .배가 넘는 오염토가 발견돼 공사가 중단됐다,-1
 암반에 스며든 유류가 공사가 진행되자 흘러나오기 시작한 것이다,-1
 전체 부지의 .가 넘는 면적에서 유류 오염물질인 석유계총탄화수소가 기준치를 초과했다,-1
 당시 국방부는.암반은 정화 대상이 아니다,0
 암반이 아닌 토양은 정화가 완료됐다,1
 며 개발사업자인 .나리벡시티에 정화책임을 미뤘다,0
 결국 지난해 말 의정부시가 .공동 정화하라.고 명령해 현재 추가 정화작업을 진행 중이다,1
 환경단체들은 내년 .월까지인 추가 정화작업 또한 절차를 지키지 않고 진행되고 있다고 주장한다,1
 법상 오염토양 정화는 .그 부지 내에서. 진행돼야 하는데 하지만 .나리벡시티가 의정부시의 승인을 받고 오염토량을 외부로 반출하고 있어 주변 지하수 오염이 우려된다는 것이다,-1
 환경단체들은 공익감사청구서에서 .미군 반환 공여구역의 경우 정화사업 후 개발 단계나 개발 완료 후에 추가 오염이 확인되는 사례가 빈번하다,-1
 부실정화로 공공시설 및 공동주택 계획이 무기한 연기되거나 유해.발암물질에 노출돼 지역 주민들이 건강상 피해도 입을 수 있다,-1
며 .철저하게 감사해 달라.고 촉구했다,0
다,0
이산화탄소와 탈황석고를 활용한 탄소포집.활용 설비. 현대오일뱅크 제공. 현대오일뱅크와 종합건설사 이앤씨가 이산화탄소.와 정유 부산물인 탈황석고를 활용해 탄산화제품을 생산하는 탄소포집.활용 설비를 구축하기로 했다,-1
 양사는 해당 내용이 담긴 .탄소저감 친환경 건축소재 사업 협약.을 .일 체결하고 공동으로 온실가스 자원화 사업을 추진하기로 했다,1
 .년 충남 서산시 현대오일뱅크 대산공장 내에 연간 .만의 탄산화제품 생산 공장을 건설해 생산량을 최대 .만까지 늘릴 계획이다,0
 현대오일뱅크는 이번 탄소포집.활용 기술 도입을 통해 정유 부산물인 탈황석고를 연간 .만 가량 재활용한다,-1
 현대오일뱅크는 .탄산화제품 . 당 이산화탄소 .을 포집.활용할 수 있어 연간 .만의 탄소배출을 줄일 수 있을 것으로 전망하고 있다,-1
고 밝혔다,0
 이는 소나무 .만 그루를 심는 효과와 맞먹는 양으로 탄소포집.활용 설비로는 국내 최대 규모다,0
 생산된 탄산화제품은 시멘트 콘크리트 경량 블록 등 건축 자재를 만드는 대체원료로 공급한다,-1
 석고.석회광산에서 석고 탄산칼슘을 직접 채굴하는 것보다 자연 파괴가 적다,-1
 현대오일뱅크 관계자는 .온실가스 저감 자원 재활용 환경 보존을 동시에 실현할 수 있는 방법.이라고 말했다,1
 이앤씨는 탄소포집.활용 공장의 설계.구매.시공에 참여하고 탄산화제품으로 만든 친환경 시멘트 콘크리트 등을 건축 및 토목 사업에 활용할 예정이다,0
 이앤씨 측은 이번 사업을 통해 탄소 포집.활용 신사업 포트폴리오를 확보해 경영에 속도를 내겠다고 밝혔다,0
 강달호 현대오일뱅크 사장은 .이번 협력은 환경을 오염시키는 배출가스와 활용도가 낮은 부산물을 재가공해 쓸모 있는 제품으로 바꾸는 친환경 사업 모델.이라며 .다양한 탄소중립 노력으로 환경.사회.지배구조경영을 강화하겠다,0
고 말했다,0
 마창민 이앤씨 대표도 .포집한 이산화탄소를 활용해 새로운 가치를 창출할 수 있는 돌파구를 마련하게 됐다,0
라며 .가장 적극적인 형태의 탄소저감 활동이 될 것.이라고 전했다,1
다,0
코로나. 사태 이후 신선냉장식품 등의 온라인 구매가 늘어나면서 집집마다 쌓여가고 있는 아이스팩. 윤희일 선임기자 세종시가 버려지는 아이스팩냉매가 들어있는 비닐 봉지을 전면 재사용하는 프로젝트를 가동한다,-1
 코로나. 사태 이후 신선.냉장.냉동식품 등의 온라인 구매가 늘어나면서 아이스팩의 처리가 가정과 사회의 큰 문제로 떠오르고 있는 것이 그 배경이다,-1
 아이스팩의 충전재는 고흡수성수지 플라스틱의 일종으로 자연 분해가 되지 않으며 소각.매립이 어려워 환경오염의 주범으로 지목되고 있다,-1
 전문가들은 아이스팩으로 인한 환경오염을 방지하기 위해서는 발생량을 억제하고 사용량을 줄이는 것이 시급하다고 주장한다,-1
 세종시는 .일부터 시내 공동.단독주택에 아이스팩 분리배출장소를 지정한 뒤 세종시 전역의 아이스팩을 수거하는 사업을 추진한다고 .일 밝혔다,0
 세종시 관계자는 .아이스팩을 수거해 재사용함으로써 일단 제조된 아이스팩의 활용도를 높이는 방법으로 환경오염 문제를 줄여나갈 방침.이라고 말했다,0
 시는 시민들이 비닐로 포장된 젤 형태의 아이스팩을 인근 행정복지센터.곳와 공동.단독주택 인근에 마련한 분리배출장소.곳에 내놓으면 세척.소독 작업을 거쳐 수요가 필요한 식품업체 전통시장 등에 무상으로 전달하기로 했다,1
 세종시는 아이스팩 수거 장소는 공동주택 관리사무소 거점 배출장소 등에서 접수를 받아 최종 확정명단을 확정한 뒤 오는 .일 시 홈페이지에 공개할 예정이다,1
 이두희 세종시 환경녹지국장은 .폐합성수지와 미세플라스틱의 원인인 젤타입의 아이스팩을 재사용함으로써 자원재활용과 환경보전에 기여하도록 하겠다,0
고 말했다,0
다,0
오래전 .이날.은 .년부터 .년까지 .년마다 경향신문의 같은 날 보도를 살펴보는 코너입니다,0
 매일 업데이트합니다,0
 .년 .월 .일 .고엽제 있을까.칠곡 토양 시료 채취. .년 전인 .년 .월 .일 경향신문 .면에는 .고엽제 있을까.칠곡 토양 시료 채취.라는 제목이 달린 사진이 실렸습니다,0
 또 .면에는 . 고엽제 .년 사용. .칠곡 미군기지 인근 .곳 땅속 토양 채취.라는 제목의 관련 기사들이 함께 게재됐습니다,0
 아래에 당시 기사들의 일부를 옮겨 보겠습니다,0
